Address,Municipality,classdesc,usedesc,saledate,saleprice
272 COLONIAL DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/30/2012, $1.00 
267 COLONIAL DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/20/2010, $1.00 
327 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/7/1994, $-   
271 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,6/29/2001, $1.00 
231 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/17/2003, $-   
228 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/3/2016, $1.00 
230 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/18/1995, $1.00 
304 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/10/2003, $1.00 
265 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/8/2000, $1.00 
227 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/24/2001, $1.00 
215 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/26/1997, $1.00 
214 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/25/2002, $1.00 
246 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/17/2004, $1.00 
250 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/25/2004, $1.00 
233 SIEAFORTH AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/7/2008, $1.00 
423 LAYTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/12/2004, $1.00 
126 ARDEN RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/6/1999, $1.00 
232 SIEAFORTH AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/9/2013, $1.00 
215 BEVERLY RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/29/2003, $-   
216 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/29/2009, $1.00 
1459 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/4/2016, $1.00 
1461 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,7/21/2015, $-   
211 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/12/2005, $1.00 
224 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/10/2015, $1.00 
220 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/13/2015, $1.00 
1501 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,FOUR FAMILY,10/6/2003, $1.00 
274 BEVERLY RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,3/31/2015, $1.00 
55 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/30/1997, $1.00 
25 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/15/2006, $1.00 
300 MCCULLY ST PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/27/1995, $1.00 
304 MCCULLY ST PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,7/9/2013, $1.00 
13 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,FOUR FAMILY,7/25/2010, $1.00 
11 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,FOUR FAMILY,7/15/2010, $1.00 
16 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,10/19/2015, $1.00 
18 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,7/11/1996, $1.00 
308 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/14/2004, $1.00 
326 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/8/2010, $1.00 
330 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/27/2004, $1.00 
332 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,3/26/2009, $1.00 
336 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,8/12/2005, $1.00 
335 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TOWNHOUSE,9/17/2003, $-   
325 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/2/2004, $1.00 
304 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/21/2002, $-   
306 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/16/2015, $1.00 
320 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/19/2002, $1.00 
307 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/13/2013, $1.00 
305 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/26/2002, $1.00 
64 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/31/2012, $1.00 
32 WASSON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,6/9/2005, $-   
28 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/16/1996, $-   
1229 PEERMONT AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,TWO FAMILY,11/14/2002, $1.00 
1225 PEERMONT AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,SINGLE FAMILY,10/27/2009, $1.00 
227 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/8/2009, $1.00 
228 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/22/1993, $1.00 
238 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/22/2011, $1.00 
231 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/31/2009, $1.00 
227 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/9/2014, $1.00 
219 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/2/1994, $-   
215 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,3/4/2013, $1.00 
222 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/17/1995, $1.00 
210 CHURCH PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/1/2013, $1.00 
309 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/11/2011, $1.00 
307 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/4/1986, $1.00 
302 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/1/2015, $1.00 
328 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,FOUR FAMILY,11/10/1994, $1.00 
332 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,11/26/2013, $1.00 
305 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/19/2012, $1.00 
1002 CELERON AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,SINGLE FAMILY,4/8/2005, $1.00 
449 MARLIN DR PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/19/2008, $1.00 
442 JAYSON AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/17/1989, $1.00 
452 JAYSON AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/1/1988, $1.00 
335 BOWER HILL RD PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/21/2011, $1.00 
303 BOWER HILL RD PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/23/2001, $1.00 
301 BOWER HILL RD PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/8/1993, $1.00 
412 COOLIDGE AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/14/2011, $1.00 
422 COOLIDGE AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/18/2008, $1.00 
434 COOLIDGE AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/11/2012, $1.00 
427 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/29/2007, $1.00 
410 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/11/2003, $-   
420 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/9/2001, $1.00 
438 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/24/2008, $1.00 
433 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/26/2013, $1.00 
417 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/20/2007, $1.00 
