Address,Municipality,classdesc,usedesc,saledate,saleprice
911 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/1/1979," $55,000.00 "
905 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/6/1984, $1.00 
901 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/24/1976, $-   
1014 GREENLAWN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/3/1966, $-   
840 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/30/1977," $16,500.00 "
855 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/2/1983," $120,000.00 "
116 BRIAR MEADOWS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/3/1975," $66,000.00 "
113 BRIAR MEADOWS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/9/1965, $-   
824 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/22/1974," $57,000.00 "
805 NORTHRIDGE DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/5/1985," $20,857.00 "
801 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/26/1983," $78,000.00 "
756 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/16/1984," $82,650.00 "
295 TWIN HILLS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/3/1973, $-   
98 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/30/1980," $131,000.00 "
668 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/3/1963, $-   
672 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/25/1982," $121,000.00 "
808 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/24/1966, $-   
838 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/31/1969, $-   
846 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,8/14/1981," $85,000.00 "
821 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/4/1977," $51,000.00 "
105 BRIAR MEADOWS DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/1/1972," $55,000.00 "
329 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/5/1974," $50,000.00 "
349 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/24/1971, $-   
336 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/5/1983," $85,650.00 "
310 OAK FOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/21/1975," $75,000.00 "
314 OAK FOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/3/1975," $46,500.00 "
313 OAK FOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/1/1981," $18,900.00 "
0 OAK FOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,11/28/1977," $95,500.00 "
747 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/28/1977," $95,500.00 "
639 RACINE AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/29/1984," $89,000.00 "
280 DIXON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/6/1984," $83,000.00 "
286 DIXON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/18/1967, $-   
620 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/1/1976," $37,000.00 "
252 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/1/1968," $24,000.00 "
270 SHADOWLAWN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/30/1975," $60,500.00 "
720 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/19/1968, $-   
257 KENFOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/4/1977," $95,000.00 "
635 RIDGEFIELD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/31/1985," $105,000.00 "
250 KENFOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/6/1976," $65,000.00 "
260 KENFOREST DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/26/1980," $88,000.00 "
0 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,RES SKELETON RECORD,5/5/1950, $-   
740 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/6/1983," $98,000.00 "
0 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,3/26/1930, $-   
0 ARKANSAS AVE PITTSBURGH PA 15216,Dormont  ,GOVERNMENT,MUNICIPAL GOVERNMENT,8/1/1910, $-   
0 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,3/8/1966, $-   
1085 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/6/1957, $-   
1092 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/16/1973, $-   
0 ILLINOIS AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,11/5/1965, $-   
0 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,GOVERNMENT,MUNICIPAL GOVERNMENT,5/5/1950, $-   
2904 DORCHESTER AVE PITTSBURGH PA 15226,Mt.Lebanon  ,COMMERCIAL,"CHURCHES, PUBLIC WORSHIP",5/5/1950, $-   
0 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,12/31/1965, $-   
926 ILLINOIS AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/4/1982," $51,000.00 "
930 ILLINOIS AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,8/15/1984," $3,000.00 "
0 MORTON LN PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM COMMON PROPERTY,9/24/1954, $-   
0 ELWYN RD PITTSBURGH PA 15243,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,5/16/1967, $-   
0 MORDEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,4/22/1967, $-   
0 MORDEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,6/11/1966, $-   
0 MORDEN DR PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,8/29/1966, $-   
1015 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/27/1984," $57,900.00 "
1007 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/18/1957, $-   
0 ELWYN RD PITTSBURGH PA 15243,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,6/24/1971, $-   
2811 QUEENSBORO AVE PITTSBURGH PA 15226,Baldwin Twp  ,RESIDENTIAL,SINGLE FAMILY,11/29/1968, $-   
157 SLEEPY HOLLOW RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/20/1976," $46,500.00 "
882 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/2/1978," $76,900.00 "
878 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/28/1965, $-   
853 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/20/1967, $-   
866 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/10/1978," $82,000.00 "
862 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/4/1974," $37,000.00 "
0 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,UTILITIES,COMMERCIAL/UTILITY,2/15/1962, $-   
1000 KELTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,10/1/1967," $95,000.00 "
936 MCNEILLY RD PITTSBURGH PA 15226,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/13/1972, $-   
837 LOVINGSTON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/14/1973, $-   
867 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/3/1978," $85,300.00 "
875 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/10/1963, $-   
0 ELWYN RD PITTSBURGH PA 15243,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,5/1/1967, $-   
887 BRIDGEWATER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/15/1962," $20,890.00 "
1002 MISSISSIPPI AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,6/24/1971, $-   
787 HILL ST PITTSBURGH PA 15226,Baldwin Twp  ,RESIDENTIAL,SINGLE FAMILY,4/25/1967, $-   
1635 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,SMALL DETACHED RET(UNDER 10000),12/31/1974," $115,000.00 "
0 BEVERLY RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,PARKING GARAGE/LOTS,10/11/1977," $65,000.00 "
114 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/23/1967, $-   
211 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/14/1974," $31,000.00 "
204 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/18/1973, $-   
211 MORRISON DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/31/1969, $-   
111 NEWBURN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/20/1983," $95,000.00 "
218 DAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/14/1972, $-   
234 DAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/16/1975," $35,500.00 "
241 DAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/1/1983," $55,000.00 "
217 DAN DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/19/1976," $39,500.00 "
250 PARKER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/22/1984," $81,500.00 "
221 PARKER DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/31/1968, $-   
449 LAYTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/19/1969, $-   
451 LAYTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/15/1960, $-   
1575 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,OFFICE - 1-2 STORIES,4/21/1970, $-   
1547 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,5/12/1977, $1.00 
1545 MCFARLAND RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/28/1980," $46,000.00 "
261 ARDEN RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/12/1967, $-   
258 COLONIAL DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/17/1962, $-   
274 COLONIAL DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/15/1983," $54,000.00 "
277 COLONIAL DR PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/3/1973, $-   
226 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/21/1977," $33,000.00 "
268 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/3/1979," $62,620.00 "
0 BEVERLY RD PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,VACANT LAND,5/5/1950, $-   
253 SIEAFORTH AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/27/1943, $-   
421 LAYTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/4/1972, $-   
431 LAYTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,3/31/1960, $-   
250 SIEAFORTH AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/9/1954, $-   
220 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/16/1957," $13,600.00 "
208 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/27/1973, $-   
204 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/28/1956, $-   
213 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/24/1967, $-   
204 DELL AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/4/1976, $-   
0 HILLSDALE AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,MUNICIPAL GOVERNMENT,9/4/1930, $1.00 
51 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,5/5/1976, $1.00 
47 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/24/1976," $34,900.00 "
209 MCCULLY ST PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,10/5/1983," $68,000.00 "
14 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,CONDOMINIUM,2/9/1982," $89,900.00 "
30 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,7/2/1981," $60,000.00 "
312 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,4/17/1978, $-   
322 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/10/1971, $-   
328 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/13/1973, $-   
342 KENMONT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/14/1983," $40,000.00 "
205 CHURCH PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/17/1960, $-   
201 CHURCH PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/9/1966, $-   
312 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,2/2/1978," $45,000.00 "
400 EDWARD AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,8/22/1963," $12,900.00 "
0 N MEADOWCROFT AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,5/14/1968, $-   
36 WASSON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,6/21/1973, $-   
41 WASSON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,4/22/1985," $69,000.00 "
37 WASSON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,1/29/1952, $-   
33 WASSON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,10/14/1976, $1.00 
22 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/25/1970, $-   
24 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/20/1967, $-   
0 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,4/1/1966, $-   
2 RALSTON PL PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,11/26/1923, $-   
3319 WEST LIBERTY AVE PITTSBURGH PA 15216,Dormont  ,COMMERCIAL,"CHURCHES, PUBLIC WORSHIP",5/25/1953, $-   
0 WASHINGTON RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,"CHURCHES, PUBLIC WORSHIP",11/15/1943, $-   
0 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,"CHURCHES, PUBLIC WORSHIP",9/26/1956, $-   
224 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,5/5/1978," $44,500.00 "
217 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/16/1956, $-   
311 MARTIN AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/31/1983," $32,000.00 "
304 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/22/1974," $33,000.00 "
320 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/18/1973," $24,800.00 "
322 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,FOUR FAMILY,7/6/1979," $58,000.00 "
0 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,AUTO SERV STATION,8/15/1977," $215,000.00 "
0 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,APART:40+ UNITS,8/15/1977," $215,000.00 "
0 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,PARKING GARAGE/LOTS,8/15/1977," $215,000.00 "
307 LAVINA AVE PITTSBURGH PA 15216,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/14/1979, $-   
314 WASHINGTON RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,APART:40+ UNITS,8/15/1977," $215,000.00 "
314 WASHINGTON RD PITTSBURGH PA 15216,Mt.Lebanon  ,COMMERCIAL,APART:40+ UNITS,8/15/1977," $215,000.00 "
1215 PEERMONT AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,SINGLE FAMILY,4/26/1963, $-   
1205 PEERMONT AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,SINGLE FAMILY,4/22/1960, $-   
0 KELTON AVE PITTSBURGH PA 15216,Mt.Lebanon  ,GOVERNMENT,MUNICIPAL GOVERNMENT,9/4/1930, $1.00 
0 KELTON AVE PITTSBURGH PA 15216,Dormont  ,GOVERNMENT,OWNED BY BOARD OF EDUCATION,1/1/1925, $-   
3065 EASTMONT AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,SINGLE FAMILY,4/27/1984," $51,000.00 "
3069 EASTMONT AVE PITTSBURGH PA 15216,Dormont  ,RESIDENTIAL,SINGLE FAMILY,12/27/1984," $42,000.00 "
455 JAYSON AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/26/1970," $24,000.00 "
410 COOLIDGE AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/25/1978," $52,500.00 "
441 COOLIDGE AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,1/29/1969, $-   
421 COOLIDGE AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/13/1959, $-   
412 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,11/19/1981," $46,000.00 "
424 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,6/12/1963, $-   
455 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,12/4/1980," $60,000.00 "
447 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,7/12/1979," $46,500.00 "
431 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/17/1980," $45,000.00 "
423 CLOKEY AVE PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,10/15/1962, $-   
205 BOWER HILL RD PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,TWO FAMILY,4/2/1971, $-   
203 BOWER HILL RD PITTSBURGH PA 15228,Mt.Lebanon  ,RESIDENTIAL,SINGLE FAMILY,9/25/1975," $30,100.00 "
